YearRemodAdd,YearBuilt,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,GrLivArea,OverallQual,Neighborhood,ExterQual,BsmtQual,KitchenQual,GarageFinish,FullBath,GarageType,MSSubClass,Foundation,FireplaceQu,Fireplaces,TotRmsAbvGrd,HeatingQC,SalePrice
1962,1962,1696,1140,349,1,1696,5,Sawyer,TA,TA,TA,RFn,1,Attchd,20,CBlock,TA,1,8,TA,143900
1960,1960,1100,1100,312,1,1100,4,NAmes,TA,TA,TA,RFn,1,Attchd,20,PConc,Po,1,6,TA,141000
1989,1988,1180,1157,454,2,2062,7,SawyerW,Gd,Gd,TA,Fin,2,Attchd,60,CBlock,Gd,1,7,Ex,277000
1964,1964,1092,1092,504,2,1092,6,NAmes,TA,Gd,TA,RFn,1,Attchd,20,CBlock,,0,6,Ex,145000
1950,1925,864,864,0,0,864,5,Edwards,TA,TA,TA,,1,,30,CBlock,,0,5,TA,98000
2009,2009,1212,1212,460,2,1212,6,Edwards,TA,Gd,Gd,RFn,2,Attchd,20,PConc,,0,6,Ex,186000
2009,2009,932,900,644,2,1852,7,Somerst,TA,Gd,Gd,RFn,2,Attchd,60,PConc,TA,1,7,Ex,252678
1995,1995,990,990,576,2,990,5,CollgCr,TA,Gd,TA,Unf,1,Attchd,20,PConc,,0,5,Ex,156000
1977,1977,689,689,299,1,1392,6,CollgCr,TA,Gd,TA,Fin,1,Attchd,60,CBlock,,0,6,Ex,161750
1996,1957,1236,1070,447,1,1236,5,NAmes,TA,TA,Gd,Unf,1,Attchd,20,CBlock,Fa,1,6,TA,134450
2004,2004,1436,1436,484,2,1436,7,CollgCr,Gd,Gd,Gd,Unf,2,Attchd,20,PConc,,0,8,Ex,210000
1950,1925,810,686,210,1,1328,4,OldTown,TA,TA,TA,Unf,1,Detchd,70,CBlock,,0,8,Fa,107000
2006,1939,1137,798,431,2,1954,7,Crawfor,Gd,TA,Gd,Unf,1,Attchd,50,CBlock,TA,2,8,Ex,311500
2006,2005,1248,1248,438,2,1248,7,Blmngtn,Gd,Gd,Gd,Fin,2,Attchd,120,PConc,,0,5,Ex,167240
2006,2006,1498,1498,675,2,1498,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,5,Ex,204900
2002,2002,1010,1010,390,2,2267,6,Gilbert,Gd,Gd,Gd,RFn,2,BuiltIn,60,PConc,TA,1,8,Ex,200000
1975,1975,811,713,434,2,1552,6,NWAmes,TA,Gd,TA,RFn,2,Attchd,60,CBlock,TA,1,6,TA,179900
1971,1971,864,864,576,2,864,4,NAmes,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,4,Gd,97000
2003,2003,2392,2392,968,3,2392,10,NridgHt,Ex,Ex,Ex,Fin,2,Attchd,20,PConc,Ex,1,8,Ex,386250
1971,1971,630,630,280,1,1302,5,BrDale,TA,TA,TA,Unf,2,Detchd,160,CBlock,,0,6,TA,112000
1995,1995,1214,1203,721,3,2520,7,NoRidge,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,TA,1,9,Ex,290000
1970,1970,483,483,280,1,987,6,BrDale,TA,TA,TA,Unf,1,Detchd,160,CBlock,,0,5,TA,106000
1967,1967,912,912,336,1,912,5,Sawyer,TA,TA,TA,Unf,1,Detchd,20,CBlock,Fa,1,5,TA,125000
2006,2005,1555,1373,430,2,1555,7,Blmngtn,Gd,Gd,Gd,Fin,2,Attchd,120,PConc,TA,1,7,Ex,192500
1959,1959,1194,1194,312,1,1194,6,NAmes,TA,TA,TA,RFn,1,Attchd,20,CBlock,,0,6,TA,148000
1996,1995,1490,1462,810,3,2794,8,NoRidge,Gd,Gd,Ex,Fin,2,Attchd,60,PConc,TA,1,9,Ex,403000
1972,1972,483,483,288,1,987,6,BrDale,TA,TA,TA,Unf,1,Attchd,160,CBlock,Po,1,5,TA,94500
1976,1976,894,894,308,1,894,5,CollgCr,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,5,TA,128200
2002,2002,860,860,440,2,1960,6,Gilbert,Gd,Gd,Gd,Fin,2,BuiltIn,60,PConc,TA,2,8,Ex,216500
1971,1971,483,483,264,1,987,6,BrDale,TA,TA,TA,Unf,1,Detchd,160,CBlock,,0,5,TA,89500
2004,2004,1414,1414,494,2,1414,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,6,Ex,185500
2003,1993,1014,996,457,2,1744,7,SawyerW,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,,0,7,Ex,194500
2007,2007,1694,1694,818,3,1694,8,NridgHt,Ex,Ex,Gd,Fin,2,Attchd,20,PConc,,0,7,Ex,318000
1950,1945,798,735,220,1,1487,6,Edwards,TA,TA,TA,Unf,1,Detchd,50,CBlock,Gd,1,7,TA,113000
2008,2008,1566,1566,750,2,1566,8,Somerst,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,7,Ex,262500
1997,1945,866,686,0,0,866,5,OldTown,TA,TA,Gd,,1,,30,CBlock,,0,4,Gd,110500
1950,1900,889,540,352,1,1440,5,OldTown,TA,TA,TA,Unf,1,Attchd,50,BrkTil,,0,6,Gd,79000
1980,1980,626,626,288,1,1217,6,SawyerW,TA,Gd,TA,RFn,1,Attchd,160,CBlock,TA,1,6,TA,120000
2002,1994,1222,948,463,2,2110,7,SawyerW,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,Fa,2,8,Ex,205000
1988,1988,1872,1845,604,2,1872,7,NWAmes,TA,Gd,TA,Fin,2,Attchd,20,CBlock,TA,1,6,Gd,241500
1950,1910,908,1020,440,1,1928,6,OldTown,TA,Fa,Fa,Unf,2,Detchd,190,Stone,,0,9,Gd,137000
1954,1954,1375,1367,451,2,1375,6,NAmes,TA,TA,TA,Unf,1,Attchd,20,CBlock,TA,1,5,Ex,140000
2003,2003,840,840,500,2,1668,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,,0,8,Ex,180000
2006,1958,1444,1444,389,2,2144,6,ClearCr,Gd,Gd,Gd,Fin,2,Attchd,50,CBlock,TA,2,7,Gd,277000
1966,1940,1306,728,0,0,1306,3,BrkSide,TA,TA,Fa,,1,,30,CBlock,,0,6,Ex,76500
2007,2006,1625,1573,538,2,1625,8,Crawfor,Gd,Gd,Gd,Fin,2,Attchd,120,PConc,Gd,1,5,Ex,235000
2004,2004,798,798,520,2,1640,6,SawyerW,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,,0,6,Ex,173000
1991,1964,1302,1302,309,1,1302,6,NAmes,TA,Gd,Gd,RFn,2,Attchd,80,CBlock,,0,7,Ex,158000
1957,1957,1314,1314,294,1,1314,5,NAmes,TA,TA,TA,RFn,1,Attchd,20,CBlock,,0,5,TA,145000
1999,1999,1005,975,429,2,2291,7,Gilbert,Gd,Gd,Gd,Fin,2,BuiltIn,60,PConc,TA,1,8,Ex,230000
2003,2003,864,864,673,2,1728,6,Somerst,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,,0,7,Ex,207500
2006,2006,1604,1604,660,2,1604,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,Gd,1,8,Ex,220000
2001,2001,963,963,564,2,1792,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,TA,1,7,Ex,231500
1956,1956,882,0,308,1,882,5,OldTown,TA,,TA,Unf,1,Detchd,20,PConc,,0,4,Gd,97000
1962,1962,1382,1362,884,2,1382,6,NAmes,TA,TA,TA,Unf,1,Attchd,80,CBlock,TA,1,6,TA,176000
2007,2007,1482,1482,868,3,2574,8,CollgCr,Gd,Ex,Ex,Fin,2,BuiltIn,60,PConc,Gd,1,10,Ex,276000
1995,1977,1212,506,492,2,1212,6,Sawyer,TA,Gd,TA,Unf,1,Attchd,80,CBlock,TA,1,6,TA,151000
2001,1929,926,926,484,2,1316,5,OldTown,TA,TA,TA,Unf,1,Detchd,50,BrkTil,,0,6,TA,130000
2004,1925,764,680,504,2,764,5,OldTown,TA,Fa,TA,Unf,1,Detchd,30,BrkTil,,0,4,Gd,73000
1981,1981,1422,1422,576,2,1422,6,NWAmes,TA,Gd,Gd,Fin,2,Attchd,20,CBlock,TA,1,7,TA,175500
1997,1997,802,802,413,2,1511,6,Gilbert,TA,Gd,TA,Fin,2,Attchd,60,PConc,TA,1,8,Gd,185000
1997,1939,1052,720,240,1,2192,5,SWISU,TA,TA,Gd,Unf,2,Detchd,75,PConc,Gd,1,8,Ex,179500
1955,1940,778,740,924,1,778,5,IDOTRR,TA,TA,TA,Fin,1,Detchd,30,CBlock,Gd,1,4,Ex,120500
1976,1976,1113,1143,504,1,1113,6,Edwards,TA,TA,TA,RFn,1,Attchd,20,CBlock,Fa,1,6,TA,148000
2006,2006,1095,1095,1053,3,1939,8,Somerst,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,Gd,1,8,Gd,266000
2005,1954,1363,1385,439,2,1363,7,ClearCr,TA,Gd,TA,Unf,1,Attchd,20,CBlock,TA,2,5,Ex,241500
2007,1999,1164,1152,671,3,2270,8,NoRidge,Gd,Gd,Gd,Fin,2,Attchd,60,PConc,Gd,1,9,Ex,290000
1988,1958,1632,1240,338,1,1632,6,NAmes,TA,TA,TA,RFn,2,Attchd,20,CBlock,Gd,1,6,Gd,139000
1982,1982,816,816,264,1,816,5,Mitchel,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,5,TA,124500
2007,1925,952,952,672,2,1548,7,BrkSide,Gd,TA,Ex,Unf,2,Detchd,50,BrkTil,,0,5,Gd,205000
2003,2003,1560,1560,573,2,1560,7,Mitchel,Gd,Ex,Gd,Fin,2,Attchd,20,PConc,,0,7,Ex,201000
1951,1951,864,864,400,2,864,4,Gilbert,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,4,Ex,141000
2007,2006,2121,2121,732,3,2121,9,NridgHt,Ex,Ex,Ex,Fin,2,Attchd,20,PConc,Ex,1,8,Ex,415298
1977,1977,1156,1160,505,2,2022,7,ClearCr,TA,Gd,TA,Fin,2,Attchd,60,CBlock,TA,1,8,Ex,192000
1989,1989,1175,807,575,2,1982,7,SawyerW,Gd,Gd,Gd,Fin,2,Attchd,60,CBlock,TA,1,7,Gd,228500
2006,2006,1262,1262,572,2,1262,6,Somerst,Gd,Gd,Gd,Fin,2,Attchd,20,PConc,,0,5,Gd,185000
2008,2007,1314,1314,626,2,1314,7,NridgHt,Gd,Gd,Gd,RFn,2,Attchd,120,PConc,Gd,1,6,Ex,207500
2009,2008,1468,1468,898,3,1468,8,Somerst,Gd,Gd,Gd,Fin,2,Attchd,20,PConc,Gd,1,6,Ex,244600
1992,1992,1575,1575,529,2,1575,6,SawyerW,Gd,Gd,Gd,RFn,2,Attchd,120,PConc,,0,5,Gd,179200
2007,2006,625,625,528,2,1250,7,Somerst,Gd,Gd,Gd,RFn,2,Detchd,160,PConc,,0,5,Ex,164700
1981,1962,1085,912,440,2,1734,6,NAmes,TA,TA,Gd,RFn,1,Attchd,50,CBlock,Gd,1,7,TA,159000
1971,1971,858,858,0,0,858,4,NAmes,TA,TA,TA,,1,,20,CBlock,,0,5,TA,88000
1967,1967,900,882,280,1,900,5,Sawyer,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,5,TA,122000
2003,1915,698,698,384,1,1396,6,BrkSide,TA,TA,TA,Unf,1,Detchd,70,BrkTil,,0,7,Ex,153575
2006,2006,1079,1079,685,2,1919,8,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,Gd,1,8,Ex,233230
2000,1912,936,780,0,0,1716,5,SWISU,TA,TA,Fa,,2,,190,PConc,,0,9,Ex,135900
2008,1949,1148,768,281,1,1716,5,Edwards,TA,TA,TA,Unf,1,Attchd,50,CBlock,Gd,1,8,Gd,131000
1994,1977,1468,795,539,2,2263,7,NWAmes,TA,TA,Gd,Fin,2,Attchd,60,CBlock,TA,1,9,Fa,235000
1953,1953,1644,1416,418,2,1644,6,NAmes,TA,TA,TA,Fin,1,Attchd,20,CBlock,Gd,2,7,TA,167000
1984,1984,1003,1003,588,2,1003,6,Mitchel,TA,TA,TA,Unf,1,Detchd,80,CBlock,,0,6,TA,142500
1950,1950,910,910,282,1,1558,5,IDOTRR,TA,TA,TA,Unf,1,Attchd,50,CBlock,,0,6,TA,152000
1998,1997,975,975,576,2,1950,7,Somerst,Gd,Gd,Gd,RFn,2,Detchd,60,PConc,TA,1,7,Ex,239000
1968,1968,1041,702,539,2,1743,6,NWAmes,Gd,TA,TA,Unf,1,Attchd,60,CBlock,Gd,1,7,Gd,175000
2004,1950,1152,1092,300,1,1152,6,Crawfor,TA,TA,Gd,Unf,1,Attchd,20,CBlock,Gd,1,6,Ex,158500
1953,1953,1336,1165,375,1,1336,5,Crawfor,TA,TA,TA,Unf,1,Attchd,190,CBlock,Gd,2,5,TA,157000
1999,1998,1210,1028,683,2,2452,8,CollgCr,Gd,Gd,Gd,Fin,2,BuiltIn,60,PConc,TA,1,9,Ex,267000
2002,2001,1541,1541,843,3,1541,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,TA,1,6,Ex,205000
1972,1972,894,894,552,2,894,5,CollgCr,TA,TA,TA,Unf,1,Attchd,20,PConc,,0,5,TA,149900
2002,1880,1675,1470,870,3,3493,7,OldTown,TA,TA,Gd,Unf,3,Attchd,75,BrkTil,Ex,1,10,Ex,295000
2005,2004,2000,2000,888,3,2000,8,CollgCr,Gd,Gd,Gd,Fin,2,Attchd,20,PConc,,0,8,Ex,305900
1991,1990,1122,700,746,3,2243,7,SawyerW,Gd,Gd,Gd,RFn,2,Attchd,60,CBlock,TA,1,8,Gd,225000
1950,1920,1035,319,0,0,1406,6,IDOTRR,TA,TA,Fa,,1,,50,CBlock,,0,6,TA,89500
1950,1940,861,861,539,2,861,4,Edwards,TA,TA,TA,Unf,1,Detchd,30,CBlock,,0,4,Ex,82500
2004,2003,1944,1896,708,3,1944,9,NridgHt,Gd,Ex,Ex,Fin,2,Attchd,20,PConc,Ex,3,8,Ex,360000
1994,1993,697,697,420,2,1501,6,Gilbert,TA,Gd,Gd,Fin,2,Attchd,60,PConc,TA,1,6,Gd,165600
2002,1948,972,972,240,1,972,6,NAmes,TA,TA,TA,Unf,1,Detchd,20,CBlock,Gd,1,5,Ex,132000
1950,1939,793,793,410,2,1118,5,OldTown,TA,Gd,TA,Unf,1,Detchd,190,CBlock,Gd,1,5,TA,119900
1965,1965,2036,2136,513,2,2036,7,Timber,TA,Gd,TA,RFn,2,Attchd,20,CBlock,Gd,2,8,TA,375000
1990,1925,832,728,546,2,1641,7,OldTown,TA,TA,Ex,Unf,1,Detchd,70,BrkTil,Gd,1,6,Ex,178000
2005,2004,716,716,432,2,1432,7,Gilbert,Gd,Gd,Gd,Fin,2,Attchd,60,PConc,Gd,1,6,Ex,188500
1980,1980,1153,845,484,2,2353,7,NWAmes,Gd,Gd,Ex,RFn,2,Attchd,60,CBlock,TA,1,10,TA,260000
2006,2006,1088,1088,1025,3,1959,8,Somerst,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,Gd,1,8,Ex,270000
1993,1993,1372,1347,656,3,2646,7,NoRidge,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,TA,1,9,Ex,260000
1980,1980,1472,1372,588,2,1472,7,NWAmes,TA,Gd,TA,Unf,2,Attchd,80,CBlock,TA,2,6,TA,187500
2006,2006,1249,1249,840,3,2596,9,NridgHt,TA,Ex,Gd,RFn,3,Attchd,60,PConc,,0,9,Ex,342643
2004,2004,1136,1136,872,3,2468,8,NridgHt,Gd,Ex,Gd,Fin,2,BuiltIn,60,PConc,Gd,1,10,Ex,354000
1987,1986,1553,1502,576,2,2730,7,SawyerW,Gd,TA,Gd,Fin,2,Attchd,60,CBlock,TA,1,8,Ex,301000
2005,1955,1163,1162,220,1,1163,3,OldTown,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,6,Ex,126175
2007,1967,1898,710,564,2,2978,7,NAmes,Gd,Gd,Gd,Fin,2,BuiltIn,80,CBlock,Gd,1,11,Ex,242000
1950,1941,803,720,360,2,803,5,IDOTRR,TA,TA,TA,Unf,1,Detchd,45,CBlock,,0,5,Po,87000
1993,1993,1719,1719,473,2,1719,8,Veenker,Gd,Gd,Gd,Fin,1,Attchd,120,PConc,Gd,2,6,Ex,324000
1960,1960,1383,1383,292,1,1383,6,NAmes,TA,TA,TA,RFn,1,Attchd,20,CBlock,,0,7,TA,145250
1994,1916,1445,844,441,2,2134,6,BrkSide,TA,TA,Gd,Unf,2,Detchd,75,BrkTil,,0,10,Gd,214500
1950,1920,596,596,189,1,1192,5,IDOTRR,TA,TA,TA,Unf,1,Detchd,70,PConc,,0,6,TA,78000
1964,1964,1728,1728,352,1,1728,5,NAmes,TA,TA,TA,Unf,2,Detchd,90,CBlock,,0,10,TA,119000
1992,1958,1056,1056,308,1,1056,5,NAmes,TA,TA,TA,RFn,1,Attchd,20,CBlock,,0,6,Fa,139000
2004,2003,1629,3206,880,3,1629,8,NridgHt,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,Gd,1,7,Ex,284000
2004,2004,1358,1358,484,2,1358,7,NridgHt,Gd,Gd,Gd,RFn,2,Attchd,120,PConc,Gd,1,6,Ex,207000
1998,1998,943,943,472,2,1638,6,Gilbert,TA,Gd,TA,Fin,2,Attchd,60,PConc,TA,2,7,Gd,192000
1965,1965,1619,1499,529,2,1786,5,Timber,TA,TA,TA,Fin,2,Attchd,190,CBlock,Gd,2,7,Ex,228950
2006,2005,1922,1922,676,3,1922,9,StoneBr,Gd,Ex,Gd,Fin,2,Attchd,20,PConc,Gd,1,8,Ex,377426
2003,2002,1536,1536,532,2,1536,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,7,Ex,214000
1998,1984,1621,1208,440,2,1621,7,NWAmes,Gd,Gd,Gd,RFn,2,Attchd,20,CBlock,,0,8,Ex,202500
1998,1958,1215,1215,297,1,1215,6,NAmes,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,6,TA,155000
2002,2002,993,967,431,2,1908,8,Timber,Gd,Gd,Gd,Fin,2,Attchd,60,PConc,,0,9,Ex,202900
1950,1950,841,721,294,1,841,4,SawyerW,Fa,TA,TA,Unf,1,CarPort,20,CBlock,,0,4,Gd,82000
1950,1949,1040,0,400,2,1040,3,NAmes,TA,,TA,Unf,2,Detchd,90,Slab,,0,6,Fa,87500
2005,2005,1684,1684,564,2,1684,9,NridgHt,Ex,Ex,Ex,RFn,2,Attchd,120,PConc,Ex,1,6,Ex,266000
1976,1976,536,536,336,1,1112,5,MeadowV,TA,Gd,TA,Unf,1,Attchd,160,CBlock,,0,4,TA,85000
1950,1939,972,972,312,1,1577,6,BrkSide,TA,TA,Fa,Unf,1,Detchd,50,BrkTil,Gd,1,6,Gd,140200
1998,1960,958,958,301,1,958,6,NAmes,TA,TA,TA,RFn,1,Attchd,20,CBlock,,0,5,TA,151500
1960,1960,1478,1478,498,2,1478,6,NAmes,TA,TA,TA,Unf,2,Attchd,20,CBlock,Gd,2,6,Ex,157500
2004,2003,764,764,474,2,1626,7,NridgHt,Gd,Gd,Gd,RFn,2,BuiltIn,160,PConc,,0,6,Ex,154000
2006,2005,1848,1848,706,3,2728,9,NridgHt,Ex,Ex,Ex,Fin,2,Attchd,60,PConc,Ex,2,10,Ex,437154
2007,2007,1869,1869,617,2,1869,9,NridgHt,Ex,Ex,Ex,RFn,2,Attchd,120,PConc,Gd,1,6,Ex,318061
1986,1986,1453,1453,445,2,1453,7,ClearCr,TA,Gd,Gd,RFn,1,Attchd,120,PConc,TA,1,6,Gd,190000
1950,1941,616,616,200,1,1111,5,Edwards,TA,TA,TA,Unf,1,Detchd,50,CBlock,,0,5,TA,95000
2003,1928,720,624,484,2,720,6,OldTown,TA,TA,TA,Unf,1,Detchd,30,BrkTil,,0,5,Gd,105900
2000,1940,1192,940,240,1,1595,6,SWISU,TA,TA,TA,Unf,1,Attchd,50,CBlock,Gd,2,6,Ex,140000
1995,1995,1200,1200,521,2,1200,6,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,6,Ex,177500
1992,1992,1167,1158,400,2,1167,6,Gilbert,TA,Gd,Gd,RFn,2,Attchd,20,PConc,,0,6,Gd,173000
1976,1976,1142,1142,528,2,1142,5,MeadowV,TA,Gd,TA,Fin,1,Attchd,120,PConc,Po,1,6,TA,134000
1958,1958,1352,1062,288,1,1352,5,ClearCr,TA,TA,Gd,Unf,1,BuiltIn,80,CBlock,,0,6,Ex,130000
1998,1998,1086,1086,592,2,1924,8,NoRidge,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,TA,1,7,Ex,280000
1978,1978,912,888,470,2,912,6,Mitchel,TA,Gd,TA,RFn,1,Attchd,85,CBlock,TA,1,5,Ex,156000
1982,1940,988,883,240,1,1505,5,BrkSide,TA,TA,TA,Unf,1,Detchd,50,CBlock,,0,8,Gd,145000
2003,2003,495,0,672,2,1922,7,Edwards,Gd,,Gd,RFn,3,BuiltIn,85,Slab,Ex,1,7,Ex,198500
2007,1972,483,483,264,1,987,6,BrDale,TA,TA,Gd,Unf,1,Detchd,160,CBlock,,0,5,Gd,118000
1976,1976,790,796,566,2,1574,6,NWAmes,TA,Gd,TA,Fin,2,Attchd,60,PConc,TA,1,6,TA,190000
1997,1920,672,672,468,1,1344,5,IDOTRR,TA,TA,TA,Unf,1,Detchd,70,CBlock,,0,6,Gd,147000
1963,1963,1394,1394,514,2,1394,6,NAmes,TA,Gd,TA,RFn,1,Attchd,20,CBlock,Gd,2,6,Gd,159000
1962,1962,1431,1099,296,1,1431,6,NAmes,TA,Gd,TA,RFn,1,Basment,80,CBlock,Gd,1,6,Gd,165000
1954,1954,1268,1268,244,1,1268,5,NAmes,TA,TA,TA,Fin,1,Attchd,20,PConc,Gd,1,7,Gd,132000
2006,1959,1287,1063,576,2,1287,5,NAmes,TA,TA,Gd,Fin,1,Detchd,20,CBlock,Gd,1,7,Ex,162000
2000,2000,953,953,460,2,1664,6,Gilbert,TA,Gd,TA,RFn,2,Attchd,60,PConc,TA,1,7,Ex,172400
1959,1959,1120,0,680,2,1588,4,ClearCr,TA,,TA,Fin,2,Detchd,50,CBlock,Gd,1,7,TA,134432
1984,1984,752,744,264,1,752,6,SawyerW,TA,Gd,TA,Unf,1,Attchd,120,CBlock,,0,4,TA,125000
1953,1953,1319,608,270,1,1319,5,NAmes,TA,TA,TA,Unf,1,Attchd,20,PConc,,0,5,TA,123000
2004,2003,847,847,434,2,1928,7,CollgCr,Gd,Gd,Gd,Fin,2,BuiltIn,60,PConc,Gd,1,8,Ex,219500
1950,1922,904,683,0,0,904,1,Edwards,Fa,Fa,Fa,,0,,30,BrkTil,,0,4,Gd,61000
1996,1996,914,870,576,2,914,5,CollgCr,Gd,Gd,TA,Unf,1,Detchd,85,PConc,,0,5,Ex,148000
2005,2004,1580,1580,610,2,2466,8,Somerst,Gd,Gd,Gd,RFn,3,Attchd,60,PConc,Gd,1,8,Ex,340000
2010,2010,1856,1856,834,3,1856,9,StoneBr,Gd,Ex,Ex,Fin,1,Attchd,20,PConc,Ex,1,8,Ex,394432
2000,2000,1007,982,463,2,1800,6,Gilbert,TA,Gd,TA,Fin,2,Attchd,60,PConc,TA,1,7,Ex,179000
1950,1924,1026,1026,308,1,1691,5,SWISU,TA,TA,Gd,Unf,2,Detchd,50,BrkTil,Gd,1,6,TA,127000
2006,2006,1301,1293,572,2,1301,7,Somerst,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,Gd,1,5,Ex,187750
2006,2006,939,939,639,2,1797,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,,0,8,Ex,213500
1950,1928,784,784,360,2,784,6,SawyerW,TA,Fa,TA,Unf,1,Detchd,45,BrkTil,,0,5,TA,76000
1992,1992,1079,1580,501,2,1953,6,ClearCr,Gd,Gd,Gd,Fin,2,Attchd,60,PConc,Fa,2,9,Ex,240000
2005,2004,1269,1256,430,2,1269,8,Blmngtn,Gd,Gd,Gd,Fin,2,Attchd,120,PConc,TA,1,6,Ex,192000
1996,1910,658,658,0,0,1184,5,Edwards,TA,TA,TA,,1,,50,PConc,,0,8,TA,81000
1976,1976,1125,1041,352,1,1125,6,Edwards,TA,TA,TA,Unf,1,Detchd,80,CBlock,Fa,1,6,Ex,125000
2000,1999,1479,1468,577,2,1479,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,6,Ex,191000
2008,2007,1742,1682,846,3,2332,10,NridgHt,Ex,Ex,Ex,Fin,2,BuiltIn,60,PConc,Ex,1,9,Ex,426000
1950,1900,961,861,384,1,1367,5,Edwards,TA,TA,TA,Unf,1,Detchd,50,BrkTil,,0,7,Ex,119000
2002,2001,804,804,560,2,1961,6,Mitchel,TA,Ex,Gd,Fin,2,BuiltIn,60,PConc,TA,1,7,Ex,215000
1959,1959,882,0,294,1,882,5,NAmes,TA,,TA,RFn,1,Attchd,20,Slab,,0,5,TA,106500
1950,1941,788,788,0,0,788,4,BrkSide,TA,TA,TA,,1,,30,CBlock,TA,2,4,TA,100000
1950,1940,735,735,240,1,1034,5,OldTown,TA,TA,TA,Unf,1,Detchd,50,CBlock,,0,5,Gd,109000
1956,1956,1144,1144,596,1,1144,5,Edwards,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,6,TA,129000
1972,1972,894,894,600,2,894,5,CollgCr,TA,TA,TA,RFn,1,Detchd,20,CBlock,,0,6,TA,123000
1962,1962,876,864,264,1,1812,5,NAmes,TA,TA,TA,RFn,2,Attchd,60,CBlock,TA,1,8,TA,169500
1950,1920,1077,961,338,1,1077,5,IDOTRR,TA,Fa,TA,Unf,1,Detchd,30,BrkTil,,0,6,Gd,67000
2007,2006,1112,1092,438,2,1550,7,Somerst,Gd,Gd,Gd,Fin,2,Attchd,60,PConc,,0,7,Ex,241000
1996,1996,1288,1260,500,2,1288,8,Veenker,Gd,Gd,Ex,Fin,1,Attchd,120,PConc,Gd,2,4,Ex,245500
2005,2005,1310,1310,400,2,1310,7,CollgCr,Gd,Gd,Gd,Fin,2,Attchd,20,PConc,Gd,1,6,Ex,164990
1997,1940,672,672,240,1,672,5,Sawyer,TA,TA,TA,Unf,1,Detchd,30,PConc,,0,4,Ex,108000
1998,1998,1165,1141,420,2,2263,8,NoRidge,Gd,Gd,Gd,Fin,2,BuiltIn,60,PConc,TA,1,10,Gd,258000
1996,1995,806,806,373,2,1572,6,Gilbert,TA,Gd,TA,Fin,2,BuiltIn,60,PConc,TA,1,7,Gd,168000
1993,1976,1620,1281,490,2,1620,4,Sawyer,TA,TA,TA,Unf,2,Attchd,20,CBlock,TA,1,8,Ex,150000
1950,1936,1166,1064,240,1,1639,6,SWISU,TA,TA,TA,Unf,1,Detchd,50,BrkTil,,0,6,Ex,115000
1976,1915,840,840,308,1,1680,6,Crawfor,TA,Gd,TA,Unf,2,Attchd,70,BrkTil,,0,8,Ex,177000
2006,2006,1071,1063,947,3,2172,7,NridgHt,Gd,Ex,Gd,RFn,2,Attchd,60,PConc,Gd,1,9,Ex,280000
2008,2007,1050,1034,836,3,2078,8,Somerst,Gd,Ex,Ex,Fin,2,Attchd,60,PConc,Gd,1,8,Ex,339750
1958,1958,1276,1276,350,1,1276,5,Edwards,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,5,TA,60000
1955,1955,1056,1056,572,2,1056,5,Gilbert,TA,TA,TA,Fin,1,Attchd,190,CBlock,,0,5,TA,145000
2009,2009,1478,1470,484,2,1478,7,Somerst,Ex,Ex,Gd,Fin,2,Attchd,20,PConc,Gd,1,7,Ex,222000
